BU,Function,BU-Function Key,Care,Connect,Insights,Network,Care2,Connect2,Insights2,Network2,Care3,Connect3,Insights3,Network3,Care4,Connect4,Insights4,Network4,Care5,Connect5,Care6,Connect6,Care7,Connect7,Care8,Connect8,_BATCH_LAST_RUN_,_BATCH_ID_,_DOWNLOAD_EMAIL_,_FILE_NAME_
Shared Services,Agile Delivery,Shared Services-Agile Delivery,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Shared Services-Application Development,.48,.27545454545454545,0,.24454545454545454,.48,.27545454545454545,0,.24454545454545454,.48,.27545454545454545,0,.24454545454545454,.48,.27545454545454545,0,.24454545454545454,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Architecture,Shared Services-Architecture,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.75,.25,.43,.57000000000000006,.3,.7,.3,.7,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Clinical & Economic Research,Shared Services-Clinical & Economic Research,.3,,,.7,.3,,,.7,.3,,,.7,.3,,,.7,,,,,,,,,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Data Engineering,Shared Services-Data Engineering,.29677419354838708,.33306451612903226,0,.37016129032258066,.29677419354838708,.33306451612903226,0,.37016129032258066,.29677419354838708,.33306451612903226,0,.37016129032258066,.29677419354838708,.33306451612903226,0,.37016129032258066,1,0,.43434343434343436,.56565656565656564,.39444444444444443,.60555555555555562,.39444444444444443,.60555555555555562,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,DevOps,Shared Services-DevOps,.85,,.15,,.85,,.15,,.85,,.15,,.85,,.15,,.4,.6,.4,.6,.4,.6,.2,.8,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,IT Ops,Shared Services-IT Ops,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.6,.4,.6,.4,.6,.4,.6,.4,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Leadership,Shared Services-Leadership,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,Shared Services-Operations,.15,.85,,,.3,.7,,,.3,.7,,,.3,.7,,,,,,,,,,,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Physical Security,Shared Services-Physical Security,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.9,0.099999999999999978,.9,0.099999999999999978,.9,0.099999999999999978,.9,0.099999999999999978,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Product,Shared Services-Product,.24271844660194175,.2941747572815534,0,.46310679611650485,.24271844660194175,.2941747572815534,0,.46310679611650485,.24271844660194175,.2941747572815534,0,.46310679611650485,.24271844660194175,.2941747572815534,0,.46310679611650485,,,,,,,,,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Product Design,Shared Services-Product Design,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Security,Shared Services-Security,.43472222222222223,.43472222222222223,0.063333333333333339,0.067222222222222225,.43472222222222223,.43472222222222223,0.063333333333333339,0.067222222222222225,.43472222222222223,.43472222222222223,0.063333333333333339,0.067222222222222225,.43472222222222223,.43472222222222223,0.063333333333333339,0.067222222222222225,.2,.8,.2,.8,.2,.8,.2,.8,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
Shared Services,Solutions Engineering,Shared Services-Solutions Engineering,.33125778331257782,.56911581569115821,0.029887920298879204,0.069738480697384808,.33125778331257782,.56911581569115821,0.029887920298879204,0.069738480697384808,.33125778331257782,.56911581569115821,0.029887920298879204,0.069738480697384808,.33125778331257782,.56911581569115821,0.029887920298879204,0.069738480697384808,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,19,/api/connectors/email/download/email-49195507-bfa0-4197-8d6e-ec88ba56bd0c/19,shared allocation master template - 3.7.23.xlsx
