BU,Vendor,BU-Function Key,Care,Connect,Insights,Network,Care2,Connect2,Insights2,Network2,Care3,Connect3,Insights3,Network3,Care4,Connect4,Insights4,Network4,Care5,Connect5,Care6,Connect6,Care7,Connect7,Care8,Connect8,_BATCH_LAST_RUN_,_BATCH_ID_,_DOWNLOAD_EMAIL_,_FILE_NAME_
,,Shared Services-Netrio-Help Desk,.6,.4,,,.6,.4,,,.6,.4,,,.6,.4,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-Critical Start-Pen Testing,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-Pyramid Services-PCI Cert,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,"Shared Services-Grant Thorton-SOC2, HIPAA, PCI Cert.",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-CapGemini-Artemis Integration PMO,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-CapGemini-Genesys Migration - Bridge for Implementation Phase,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-CapGemini-Genesys Migration - Discovery Phase,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-CapGemini-Genesys Migration - Proposed Integration Phase,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-CapGemini-Project Alexander,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-CapGemini-Truven Due Diligence,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-EY-Payments Market Study,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-Aprio-PCI Report on Compliance (RoC),.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-Grant Thorton-SOC 2 Type 2,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-HITRUST-HIGHTRUST Certification,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
,,Shared Services-Inventiv-Help Desk - Dispatch Services,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,,,,,2023-03-07 17:54:52,8,/api/connectors/email/download/email-e929a7e2-7e0e-47eb-91cb-0ac2bfc8092b/8,shared allocation master template - 3.7.23.xlsx
