BU,Function,Vendor,SW Key,Care,Connect,Insights,Network,Care2,Connect2,Insights2,Network2,Care3,Connect3,Insights3,Network3,Care4,Connect4,Insights4,Network4,Care5,Connect5,Care6,Connect6,Care7,Connect7,Care8,Connect8,_BATCH_LAST_RUN_,_BATCH_ID_,_DOWNLOAD_EMAIL_,_FILE_NAME_
,,,Shared Services-8x8,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,Adobe,Shared Services-Adobe,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-AHA (American Health Association),.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Alinear, Inc DBA Spotlyfe",.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.4,.6,.4,.6,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Architecture,Allstacks,Shared Services-Allstacks,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,Shared Services-AMA (American Medical Association),.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Operations,"Amazon Web Services, Inc.","Shared Services-Amazon Web Services, Inc.",.35,.65,,,.33500000000000002,.33500000000000002,.33,,.33500000000000002,.33500000000000002,.33,,.33500000000000002,.33500000000000002,.33,,.4,.6,.4,.6,,,,,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
,,,"Shared Services-Armature Systems, Inc",.35,.35,.3,,.35,.35,.3,,.35,.35,.3,,.35,.35,.3,,,,,,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Application Development,Atlassian,Shared Services-Atlassian,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
Shared Services,Finance,Bill.com,Shared Services-Bill.com,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,,,.5,.5,.5,.5,.5,.5,.5,.5,2023-03-07 17:54:52,9,/api/connectors/email/download/email-79a9e5d5-3767-4b75-9a4f-886c061277cf/9,shared allocation master template - 3.7.23.xlsx
